Pothole,Method, CN_A, CN_B, CN_C, CN_D,Infiltration,NSE,PBIAS,RSR,R2
Bunny,1,71,80,87,90,109,0.53796188,3.15158833,0.67853609,0.592499341
Bunny,1,71,80,87,90,111,0.53872492,6.06778389,0.67797557,0.587524493
Bunny,1,71,80,87,90,113,0.53773557,8.98397946,0.67870225,0.581716864
Bunny,1,71,80,87,90,115,0.53499382,11.90017502,0.680712,0.575023815
Bunny,1,71,80,87,90,117,0.53600109,14.43882212,0.67997435,0.571817008
Bunny,1,71,80,87,90,119,0.53838442,16.63212246,0.67822575,0.570066215
Bunny,1,71,80,87,90,121,0.53984062,18.80691237,0.67715515,0.567943135
Bunny,1,71,80,87,90,123,0.54030054,20.98170229,0.67681667,0.565366359
Bunny,2,72,81,88,91,147,0.53757651,13.89170049,0.678819,0.57727915
Bunny,2,72,81,88,91,149,0.53967301,15.7169706,0.67727847,0.575722266
Bunny,2,72,81,88,91,151,0.54106772,17.5422407,0.67625167,0.573869068
Bunny,2,72,81,88,91,153,0.54176065,19.36751081,0.67574095,0.571701701
Bunny,2,72,81,88,91,155,0.5417518,21.19278092,0.67574747,0.56920201
Bunny,2,72,81,88,91,157,0.54104117,23.01805102,0.67627123,0.566351652
Bunny,2,72,81,88,91,159,0.53962875,24.84332113,0.67731102,0.563132223
Bunny,2,72,81,88,91,161,0.53809938,26.60825361,0.67843512,0.559997359
Bunny,3,74,83,90,93,57,0.4895177,-24.47039673,0.71322144,0.642447465
Bunny,3,74,83,90,93,59,0.50483392,-17.39332188,0.70244041,0.632945547
Bunny,3,74,83,90,93,61,0.51336917,-10.99622192,0.69636007,0.621378693
Bunny,3,74,83,90,93,63,0.51468409,-4.80368108,0.69541862,0.607090828
Bunny,3,74,83,90,93,65,0.52116253,0.76833545,0.69076148,0.598535422
Bunny,3,74,83,90,93,67,0.52124328,6.34035197,0.69070324,0.587233572
Bunny,3,74,83,90,93,69,0.52555892,11.17790117,0.6875831,0.581075861
Bunny,3,74,83,90,93,71,0.5304619,15.44181598,0.68402105,0.576775468
Bunny,3,74,83,90,93,73,0.53613014,19.21945431,0.67987978,0.574190016
Bunny,3,74,83,90,93,75,0.5386967,22.90345442,0.67799631,0.570279438
Walnut,1,74,83,90,93,31,0.41225597,-47.41319531,0.76530787,0.481310116
Walnut,1,74,83,90,93,33,0.45905933,-33.89340234,0.73420423,0.495688746
Walnut,1,74,83,90,93,35,0.49053827,-21.67277898,0.7125213,0.506631019
Walnut,1,74,83,90,93,37,0.51070048,-10.91308156,0.69827978,0.515363834
Walnut,1,74,83,90,93,39,0.51965727,-0.81184166,0.69185913,0.519937206
Walnut,1,74,83,90,93,41,0.52253859,8.15239449,0.68978096,0.523583722
Walnut,1,74,83,90,93,43,0.5177739,16.43042885,0.69321416,0.523272847
Walnut,1,74,83,90,93,45,0.50559154,23.17706746,0.70191579,0.516200013
Walnut,2,74,83,90,93,47,0.42292078,-45.05181504,0.7583327,0.486202457
Walnut,2,74,83,90,93,49,0.45547789,-35.75702286,0.73663072,0.496368983
Walnut,2,74,83,90,93,51,0.48068309,-27.35873257,0.7193799,0.505040784
Walnut,2,74,83,90,93,53,0.49940772,-19.14200159,0.70629176,0.512185509
Walnut,2,74,83,90,93,55,0.51307355,-11.86739666,0.69658441,0.518371096
Walnut,2,74,83,90,93,57,0.52148611,-4.93121192,0.6905408,0.522743244
Walnut,2,74,83,90,93,59,0.52526479,1.92588625,0.6878089,0.525290187
Walnut,2,74,83,90,93,61,0.52730804,7.99530565,0.68632715,0.528371535
Walnut,2,74,83,90,93,63,0.52534922,13.62062177,0.68774773,0.529252174
Walnut,3,74,83,90,93,12,-0.21902567,-149.9849573,1.10216977,0.357318705
Walnut,3,74,83,90,93,14,0.20643989,-91.16947332,0.88926661,0.427546184
Walnut,3,74,83,90,93,16,0.3694631,-56.31249687,0.79267894,0.46394281
Walnut,3,74,83,90,93,18,0.45805802,-31.32587874,0.73488345,0.490075669
Walnut,3,74,83,90,93,20,0.49902955,-11.66696849,0.70655849,0.504688808
Walnut,3,74,83,90,93,22,0.50961933,5.08926402,0.6990508,0.50979077
Walnut,3,74,83,90,93,24,0.49835839,19.10897509,0.70703163,0.504148988
Walnut,3,74,83,90,93,26,0.47570332,28.5411398,0.72282077,0.488649552
Walnut,3,74,83,90,93,28,0.451813,36.92171084,0.7391055,0.472987757
Walnut,3,74,83,90,93,30,0.43975293,43.03619156,0.7471914,0.471961994
Lettuce,1,74,83,90,93,44,0.43725224,-67.47383676,0.74899211,0.775741601
Lettuce,1,74,83,90,93,46,0.5846177,-52.15793777,0.64349377,0.795806487
Lettuce,1,74,83,90,93,48,0.68837309,-38.05023944,0.5573626,0.809438555
Lettuce,1,74,83,90,93,50,0.75380189,-25.0409709,0.49540766,0.815202226
Lettuce,1,74,83,90,93,52,0.78513287,-13.4577372,0.46281279,0.811083177
Lettuce,1,74,83,90,93,54,0.79047523,-3.92838924,0.45702298,0.799955334
Lettuce,1,74,83,90,93,56,0.78586847,2.22117828,0.46201988,0.790529045
Lettuce,1,74,83,90,93,58,0.7765546,7.95209253,0.47196094,0.779301995
Lettuce,2,74,83,90,93,27,-0.63944024,-146.7562027,1.27840408,0.669064498
Lettuce,2,74,83,90,93,29,-0.14615308,-114.4062804,1.06891129,0.71034637
Lettuce,2,74,83,90,93,31,0.21042906,-87.69772854,0.88718856,0.746892069
Lettuce,2,74,83,90,93,33,0.46811483,-65.06501985,0.72816415,0.779297383
Lettuce,2,74,83,90,93,35,0.64044631,-45.41534643,0.59869031,0.802243226
Lettuce,2,74,83,90,93,37,0.74225531,-27.77068639,0.50689174,0.812829807
Lettuce,2,74,83,90,93,39,0.78405587,-12.18904299,0.46397124,0.807002926
Lettuce,2,74,83,90,93,41,0.78583008,-1.34082622,0.4620613,0.792919498
Lettuce,2,74,83,90,93,43,0.77567775,6.46581182,0.47288608,0.778730716
Lettuce,2,74,83,90,93,45,0.75855591,13.59267748,0.49060124,0.76177191
Lettuce,3,74,83,90,93,17,-0.94245172,-168.4428979,1.39153928,0.649672055
Lettuce,3,74,83,90,93,19,-0.16100846,-118.1705723,1.07581611,0.711193855
Lettuce,3,74,83,90,93,21,0.32537856,-79.57286892,0.82006905,0.760027026
Lettuce,3,74,83,90,93,23,0.61671979,-49.00188234,0.61812819,0.796759433
Lettuce,3,74,83,90,93,25,0.75506543,-23.56338091,0.49413475,0.808080657
Lettuce,3,74,83,90,93,27,0.77996595,-3.79012756,0.46834436,0.789409084
Lettuce,3,74,83,90,93,29,0.76594376,7.63257616,0.48303708,0.768879881
Lettuce,3,74,83,90,93,31,0.73683396,17.73541895,0.51219493,0.741749989
Lettuce,3,74,83,90,93,33,0.71266581,25.7917458,0.53519741,0.724419185
Lettuce,3,74,83,90,93,35,0.68235564,33.0589657,0.56271815,0.704667127
Cardinal,1,74,83,90,93,211,0.61129137,0.62049097,0.62135515,0.611699628
Cardinal,1,74,83,90,93,213,0.6144473,2.16750208,0.61882761,0.614647695
Cardinal,1,74,83,90,93,215,0.61735961,3.68576848,0.61648599,0.617536618
Cardinal,1,74,83,90,93,217,0.62000464,5.1721257,0.61435154,0.620333174
Cardinal,1,74,83,90,93,219,0.62233003,6.65627375,0.6124689,0.622977739
Cardinal,1,74,83,90,93,221,0.6243317,8.14042181,0.61084368,0.625455685
Cardinal,1,74,83,90,93,223,0.62600967,9.62456986,0.60947795,0.627755998
Cardinal,1,74,83,90,93,225,0.62736531,11.1060908,0.60837233,0.629868464
Cardinal,1,74,83,90,93,227,0.62847414,12.45606846,0.60746651,0.631836595
Cardinal,1,74,83,90,93,229,0.62932026,13.78668396,0.60677438,0.633653687
Cardinal,1,74,83,90,93,231,0.62989981,15.1089234,0.60629985,0.635308258
Cardinal,1,74,83,90,93,233,0.63029924,16.39200351,0.6059726,0.636876535
Cardinal,1,74,83,90,93,235,0.63122583,17.55082461,0.60521273,0.639098561
Cardinal,1,74,83,90,93,237,0.63215567,18.67673003,0.60444925,0.641435398
Cardinal,1,74,83,90,93,239,0.63287242,19.80263545,0.60386008,0.643654674
Cardinal,1,74,83,90,93,241,0.63337606,20.92854087,0.60344573,0.645748855
Cardinal,1,74,83,90,93,243,0.6336666,22.05444629,0.60320657,0.647710235
Cardinal,1,74,83,90,93,245,0.63383109,23.16232869,0.60307114,0.649616405
Cardinal,1,74,83,90,93,247,0.63445387,24.13470156,0.60255807,0.652047075
Cardinal,1,74,83,90,93,249,0.63514413,25.0558969,0.60198889,0.654637451
Cardinal,1,74,83,90,93,251,0.63568775,25.95396854,0.60154026,0.657148536
Cardinal,1,74,83,90,93,253,0.63608307,26.84104553,0.6012138,0.659577608
Cardinal,1,74,83,90,93,255,0.63632618,27.72812253,0.60101295,0.66191863
Cardinal,2,74,83,90,93,81,0.42320273,-63.47691438,0.75690157,0.599261571
Cardinal,2,74,83,90,93,83,0.46921723,-56.69398558,0.72608292,0.611364864
Cardinal,2,74,83,90,93,85,0.5097221,-50.03768197,0.69782893,0.622732579
Cardinal,2,74,83,90,93,87,0.54599702,-44.208485,0.67151723,0.634104349
Cardinal,2,74,83,90,93,89,0.57781139,-38.41849408,0.64756157,0.644814038
Cardinal,2,74,83,90,93,91,0.6053588,-32.89015889,0.62607883,0.654793596
Cardinal,2,74,83,90,93,93,0.62875862,-27.3618237,0.60723389,0.663849268
Cardinal,2,74,83,90,93,95,0.64863139,-22.17261615,0.59075756,0.672282134
Cardinal,2,74,83,90,93,97,0.66584082,-17.38415649,0.5761088,0.680560619
Cardinal,2,74,83,90,93,99,0.67990248,-12.64558347,0.56385699,0.688026219
Cardinal,2,74,83,90,93,101,0.69072892,-7.90701045,0.55423949,0.694382544
Cardinal,2,74,83,90,93,103,0.6984632,-3.3840425,0.54726537,0.699527309
Cardinal,2,74,83,90,93,105,0.70489537,0.35059237,0.54139697,0.705009603
