Pothole,Method, CN_A, CN_B, CN_C, CN_D,Infiltration,NSE,PBIAS,RSR,R2,
Bunny,1,72,81,88,91,50,-4.65824768,-374.8992103,2.37451559,0.470248597,
Bunny,1,72,81,88,91,55,-2.36813354,-277.5109812,1.83201362,0.558134804,
Bunny,1,72,81,88,91,60,-1.18437594,-211.5853636,1.4753591,0.622940363,
Bunny,1,72,81,88,91,65,-0.68324107,-172.3180983,1.29511164,0.649637979,
Bunny,1,72,81,88,91,70,-0.32363426,-140.9672908,1.14846575,0.667364292,
Bunny,1,72,81,88,91,75,-0.05461558,-115.475565,1.02513518,0.679117878,
Bunny,1,72,81,88,91,80,0.14652421,-93.28667773,0.92220963,0.684084887,
Bunny,1,72,81,88,91,85,0.29592364,-73.12111126,0.837614,0.684009886,
Bunny,1,72,81,88,91,90,0.39710095,-55.33125563,0.77509752,0.675320974,
Bunny,1,72,81,88,91,95,0.47068844,-39.67056876,0.72625601,0.665616375,
Bunny,1,72,81,88,91,100,0.51286536,-25.43597565,0.69672045,0.648540054,
Bunny,1,72,81,88,91,105,0.53157056,-13.36117135,0.68321302,0.628979217,
Bunny,1,72,81,88,91,110,0.53609954,-4.89271242,0.6799022,0.612044652,
Bunny,1,72,81,88,91,115,0.53754284,2.79801197,0.67884371,0.596677744,
Bunny,1,72,81,88,91,120,0.53565113,10.08850089,0.68023073,0.582025117,
Bunny,1,72,81,88,91,125,0.53917727,16.08948766,0.67764306,0.57463268,
Bunny,2,72,81,88,91,125,0.53233397,-14.33149703,0.68265607,0.631923096,
Bunny,2,72,81,88,91,130,0.53765158,-7.04669885,0.6787639,0.618191396,
Bunny,2,72,81,88,91,135,0.53649941,-0.28417681,0.67960911,0.602519964,
Bunny,2,72,81,88,91,140,0.53959848,5.83462638,0.67733329,0.592434962,
Bunny,2,72,81,88,91,145,0.53524205,11.93503168,0.6805303,0.57888632,
Bunny,2,72,81,88,91,150,0.54045809,16.62960565,0.67670068,0.574833814,
Bunny,2,72,81,88,91,155,0.5417518,21.19278092,0.67574747,0.56920201,
Bunny,2,72,81,88,91,160,0.5386639,25.75520948,0.67802041,0.561381899,
Bunny,2,72,81,88,91,165,0.53638866,29.84395971,0.6796903,0.555339366,
Bunny,2,72,81,88,91,170,0.53097372,33.68996975,0.68364814,0.547585615,
Bunny,2,72,81,88,91,175,0.52216907,37.39721779,0.69003509,0.537677529,
Bunny,3,72,81,88,91,50,0.49318725,-30.79472993,0.71065336,0.649085626,
Bunny,3,72,81,88,91,55,0.52510935,-9.02797791,0.68790878,0.613374076,
Bunny,3,72,81,88,91,60,0.52904385,5.72610798,0.68505317,0.584236426,
Bunny,3,72,81,88,91,65,0.53514067,17.65692866,0.68060451,0.568542243,
Bunny,3,72,81,88,91,70,0.53276713,27.72055715,0.68233986,0.553885632,
Bunny,3,72,81,88,91,75,0.51938439,36.39878401,0.69204285,0.535313182,
Bunny,3,72,81,88,91,80,0.50137913,43.31233434,0.70488663,0.51604321,
Bunny,3,72,81,88,91,85,0.48563064,48.85616024,0.7159317,0.501215815,
Bunny,3,72,81,88,91,90,0.46240343,54.05041294,0.73191777,0.481247683,
Bunny,3,72,81,88,91,95,0.43697849,58.71201863,0.7490254,0.46024415,
Walnut,1,72,81,88,91,25,0.25825258,-70.09962462,0.85974585,0.407770919,
Walnut,1,72,81,88,91,30,0.41557974,-28.77388238,0.76314085,0.449035443,
Walnut,1,72,81,88,91,35,0.46688174,0.12347856,0.72887633,0.468079526,
