"","scen","range","pct","area.pct","Pothole"
"1","Base","zero",1,0,"Bunny"
"2","ConTillDrain01","zero",1,0,"Bunny"
"3","ConTillDrain02","zero",1,0,"Bunny"
"4","ConTillDrain03","zero",1,0,"Bunny"
"5","ConTillRetired","zero",1,0,"Bunny"
"6","CoverCrop","zero",1,0,"Bunny"
"7","Drain0","zero",1,0,"Bunny"
"8","Drain01","zero",1,0,"Bunny"
"9","Drain02","zero",1,0,"Bunny"
"10","Drain03","zero",1,0,"Bunny"
"11","Drain0CT","zero",1,0,"Bunny"
"12","Drain0NT","zero",1,0,"Bunny"
"13","Drain1NT","zero",1,0,"Bunny"
"14","Drain1Retired","zero",1,0,"Bunny"
"15","Drain1RetiredAll","zero",1,0,"Bunny"
"16","Drain1RetiredCT","zero",1,0,"Bunny"
"17","Drain1RetiredNT","zero",1,0,"Bunny"
"18","Drain2NT","zero",1,0,"Bunny"
"19","Drain2Retired","zero",1,0,"Bunny"
"20","Drain2RetiredAll","zero",1,0,"Bunny"
"21","Drain2RetiredCT","zero",1,0,"Bunny"
"22","Drain2RetiredNT","zero",1,0,"Bunny"
"23","Drain3NT","zero",1,0,"Bunny"
"24","Drain3Retired","zero",1,0,"Bunny"
"25","Drain3RetiredAll","zero",1,0,"Bunny"
"26","Drain3RetiredCT","zero",1,0,"Bunny"
"27","Drain3RetiredNT","zero",1,0,"Bunny"
"28","NoTillRetired","zero",1,0,"Bunny"
"29","PlantDate01","zero",1,0,"Bunny"
"30","PlantDate02","zero",1,0,"Bunny"
"31","PlantDate03","zero",1,0,"Bunny"
"32","PlantDate04","zero",1,0,"Bunny"
"33","RetiredAll","zero",1,0,"Bunny"
"34","RetiredPothole","zero",1,0,"Bunny"
"35","Base","one",0.96,0.1,"Bunny"
"36","ConTillDrain01","one",1,0.1,"Bunny"
"37","ConTillDrain02","one",0.96,0.1,"Bunny"
"38","ConTillDrain03","one",0.96,0.1,"Bunny"
"39","ConTillRetired","one",1,0.1,"Bunny"
"40","CoverCrop","one",0.88,0.1,"Bunny"
"41","Drain0","one",1,0.1,"Bunny"
"42","Drain01","one",1,0.1,"Bunny"
"43","Drain02","one",1,0.1,"Bunny"
"44","Drain03","one",0.96,0.1,"Bunny"
"45","Drain0CT","one",1,0.1,"Bunny"
"46","Drain0NT","one",1,0.1,"Bunny"
"47","Drain1NT","one",1,0.1,"Bunny"
"48","Drain1Retired","one",1,0.1,"Bunny"
"49","Drain1RetiredAll","one",0.88,0.1,"Bunny"
"50","Drain1RetiredCT","one",1,0.1,"Bunny"
"51","Drain1RetiredNT","one",1,0.1,"Bunny"
"52","Drain2NT","one",0.96,0.1,"Bunny"
"53","Drain2Retired","one",1,0.1,"Bunny"
"54","Drain2RetiredAll","one",0.84,0.1,"Bunny"
"55","Drain2RetiredCT","one",0.96,0.1,"Bunny"
"56","Drain2RetiredNT","one",0.96,0.1,"Bunny"
"57","Drain3NT","one",0.96,0.1,"Bunny"
"58","Drain3Retired","one",0.96,0.1,"Bunny"
"59","Drain3RetiredAll","one",0.64,0.1,"Bunny"
"60","Drain3RetiredCT","one",0.96,0.1,"Bunny"
