"","fill","y","x","PANEL","group","flipped_aes","ymin","ymax","xmin","xmax","colour","size","linetype","alpha"
"1","#1B9E77",82.35895344,1,"1",1,FALSE,0,82.35895344,0.55,1.45,NA,0.5,1,NA
"2","#1B9E77",1098.877315772,2,"1",7,FALSE,0,1098.877315772,1.55,2.45,NA,0.5,1,NA
"3","#1B9E77",4567.738564,3,"1",13,FALSE,0,4567.738564,2.55,3.45,NA,0.5,1,NA
"4","#1B9E77",11119.540268,4,"1",19,FALSE,0,11119.540268,3.55,4.45,NA,0.5,1,NA
"5","#1B9E77",14928.60625972,5,"1",25,FALSE,0,14928.60625972,4.55,5.45,NA,0.5,1,NA
"6","#1B9E77",12170.73524524,6,"1",31,FALSE,0,12170.73524524,5.55,6.45,NA,0.5,1,NA
"7","#1B9E77",9208.87125012,7,"1",37,FALSE,0,9208.87125012,6.55,7.45,NA,0.5,1,NA
"8","#1B9E77",13276.155864,8,"1",43,FALSE,0,13276.155864,7.55,8.45,NA,0.5,1,NA
"9","#1B9E77",11908.37617964,9,"1",49,FALSE,0,11908.37617964,8.55,9.45,NA,0.5,1,NA
"10","#1B9E77",7482.42759852,10,"1",55,FALSE,0,7482.42759852,9.55,10.45,NA,0.5,1,NA
"11","#1B9E77",4535.32124044,11,"1",61,FALSE,0,4535.32124044,10.55,11.45,NA,0.5,1,NA
"12","#1B9E77",3402.791121,12,"1",67,FALSE,0,3402.791121,11.55,12.45,NA,0.5,1,NA
"13","#1B9E77",298.22011652,1,"2",1,FALSE,0,298.22011652,0.55,1.45,NA,0.5,1,NA
"14","#1B9E77",2356.74197692,2,"2",7,FALSE,0,2356.74197692,1.55,2.45,NA,0.5,1,NA
"15","#1B9E77",5121.48387048,3,"2",13,FALSE,0,5121.48387048,2.55,3.45,NA,0.5,1,NA
"16","#1B9E77",12027.3337778,4,"2",19,FALSE,0,12027.3337778,3.55,4.45,NA,0.5,1,NA
"17","#1B9E77",16023.69081876,5,"2",25,FALSE,0,16023.69081876,4.55,5.45,NA,0.5,1,NA
"18","#1B9E77",9911.0597996,6,"2",31,FALSE,0,9911.0597996,5.55,6.45,NA,0.5,1,NA
"19","#1B9E77",7211.4604164,7,"2",37,FALSE,0,7211.4604164,6.55,7.45,NA,0.5,1,NA
"20","#1B9E77",10710.95274004,8,"2",43,FALSE,0,10710.95274004,7.55,8.45,NA,0.5,1,NA
"21","#1B9E77",10148.935116748,9,"2",49,FALSE,0,10148.935116748,8.55,9.45,NA,0.5,1,NA
"22","#1B9E77",6707.623768,10,"2",55,FALSE,0,6707.623768,9.55,10.45,NA,0.5,1,NA
"23","#1B9E77",5292.3820044,11,"2",61,FALSE,0,5292.3820044,10.55,11.45,NA,0.5,1,NA
"24","#1B9E77",3773.79693448,12,"2",67,FALSE,0,3773.79693448,11.55,12.45,NA,0.5,1,NA
"25","#1B9E77",757.6763272,1,"3",1,FALSE,0,757.6763272,0.55,1.45,NA,0.5,1,NA
"26","#1B9E77",2912.19830108,2,"3",7,FALSE,0,2912.19830108,1.55,2.45,NA,0.5,1,NA
"27","#1B9E77",5763.918401296,3,"3",13,FALSE,0,5763.918401296,2.55,3.45,NA,0.5,1,NA
"28","#1B9E77",13072.77298784,4,"3",19,FALSE,0,13072.77298784,3.55,4.45,NA,0.5,1,NA
"29","#1B9E77",17318.15374096,5,"3",25,FALSE,0,17318.15374096,4.55,5.45,NA,0.5,1,NA
"30","#1B9E77",6453.690395632,6,"3",31,FALSE,0,6453.690395632,5.55,6.45,NA,0.5,1,NA
"31","#1B9E77",3586.41417724,7,"3",37,FALSE,0,3586.41417724,6.55,7.45,NA,0.5,1,NA
"32","#1B9E77",7950.21778432,8,"3",43,FALSE,0,7950.21778432,7.55,8.45,NA,0.5,1,NA
"33","#1B9E77",7456.25980964,9,"3",49,FALSE,0,7456.25980964,8.55,9.45,NA,0.5,1,NA
"34","#1B9E77",5304.10270088,10,"3",55,FALSE,0,5304.10270088,9.55,10.45,NA,0.5,1,NA
"35","#1B9E77",5941.31180564,11,"3",61,FALSE,0,5941.31180564,10.55,11.45,NA,0.5,1,NA
"36","#1B9E77",3929.9643492,12,"3",67,FALSE,0,3929.9643492,11.55,12.45,NA,0.5,1,NA
"37","#1B9E77",3.7258375704,1,"4",1,FALSE,0,3.7258375704,0.55,1.45,NA,0.5,1,NA
"38","#1B9E77",776.38849384,2,"4",7,FALSE,0,776.38849384,1.55,2.45,NA,0.5,1,NA
"39","#1B9E77",4374.72937888,3,"4",13,FALSE,0,4374.72937888,2.55,3.45,NA,0.5,1,NA
"40","#1B9E77",10910.83517356,4,"4",19,FALSE,0,10910.83517356,3.55,4.45,NA,0.5,1,NA
"41","#1B9E77",14374.90144064,5,"4",25,FALSE,0,14374.90144064,4.55,5.45,NA,0.5,1,NA
"42","#1B9E77",12087.49391784,6,"4",31,FALSE,0,12087.49391784,5.55,6.45,NA,0.5,1,NA
"43","#1B9E77",9240.78858808,7,"4",37,FALSE,0,9240.78858808,6.55,7.45,NA,0.5,1,NA
"44","#1B9E77",12898.015281,8,"4",43,FALSE,0,12898.015281,7.55,8.45,NA,0.5,1,NA
"45","#1B9E77",11546.84942232,9,"4",49,FALSE,0,11546.84942232,8.55,9.45,NA,0.5,1,NA
"46","#1B9E77",7213.94950968,10,"4",55,FALSE,0,7213.94950968,9.55,10.45,NA,0.5,1,NA
"47","#1B9E77",4323.4038312,11,"4",61,FALSE,0,4323.4038312,10.55,11.45,NA,0.5,1,NA
"48","#1B9E77",3222.1114236,12,"4",67,FALSE,0,3222.1114236,11.55,12.45,NA,0.5,1,NA
"49","#1B9E77",107.00436624,1,"5",1,FALSE,0,107.00436624,0.55,1.45,NA,0.5,1,NA
"50","#1B9E77",1671.78262792,2,"5",7,FALSE,0,1671.78262792,1.55,2.45,NA,0.5,1,NA
"51","#1B9E77",4794.7361136,3,"5",13,FALSE,0,4794.7361136,2.55,3.45,NA,0.5,1,NA
"52","#1B9E77",11698.77612184,4,"5",19,FALSE,0,11698.77612184,3.55,4.45,NA,0.5,1,NA
"53","#1B9E77",15490.55339548,5,"5",25,FALSE,0,15490.55339548,4.55,5.45,NA,0.5,1,NA
"54","#1B9E77",10193.103537852,6,"5",31,FALSE,0,10193.103537852,5.55,6.45,NA,0.5,1,NA
"55","#1B9E77",7230.1584844,7,"5",37,FALSE,0,7230.1584844,6.55,7.45,NA,0.5,1,NA
"56","#1B9E77",10385.247645,8,"5",43,FALSE,0,10385.247645,7.55,8.45,NA,0.5,1,NA
"57","#1B9E77",9949.22342468,9,"5",49,FALSE,0,9949.22342468,8.55,9.45,NA,0.5,1,NA
"58","#1B9E77",6308.70672452,10,"5",55,FALSE,0,6308.70672452,9.55,10.45,NA,0.5,1,NA
"59","#1B9E77",5025.3225596,11,"5",61,FALSE,0,5025.3225596,10.55,11.45,NA,0.5,1,NA
