"","Year","Month","Pothole","variable","value"
"1",1994,1,"Bunny","Base",0
"2",1994,2,"Bunny","Base",0
"3",1994,3,"Bunny","Base",0
"4",1994,4,"Bunny","Base",0
"5",1994,5,"Bunny","Base",0
"6",1994,6,"Bunny","Base",3906.46
"7",1994,7,"Bunny","Base",0
"8",1994,8,"Bunny","Base",0
"9",1994,9,"Bunny","Base",0
"10",1994,10,"Bunny","Base",0
"11",1994,11,"Bunny","Base",0
"12",1994,12,"Bunny","Base",0
"13",1995,1,"Bunny","Base",0
"14",1995,2,"Bunny","Base",0
"15",1995,3,"Bunny","Base",601.07
"16",1995,4,"Bunny","Base",0
"17",1995,5,"Bunny","Base",307.63
"18",1995,6,"Bunny","Base",0
"19",1995,7,"Bunny","Base",0
"20",1995,8,"Bunny","Base",0
"21",1995,9,"Bunny","Base",0
"22",1995,10,"Bunny","Base",0
"23",1995,11,"Bunny","Base",0
"24",1995,12,"Bunny","Base",0
"25",1996,1,"Bunny","Base",0
"26",1996,2,"Bunny","Base",0
"27",1996,3,"Bunny","Base",0
"28",1996,4,"Bunny","Base",0
"29",1996,5,"Bunny","Base",0
"30",1996,6,"Bunny","Base",0
"31",1996,7,"Bunny","Base",4648.83
"32",1996,8,"Bunny","Base",0
"33",1996,9,"Bunny","Base",2490.42
"34",1996,10,"Bunny","Base",2250.64
"35",1996,11,"Bunny","Base",0
"36",1996,12,"Bunny","Base",0
"37",1997,1,"Bunny","Base",0
"38",1997,2,"Bunny","Base",0
"39",1997,3,"Bunny","Base",0
"40",1997,4,"Bunny","Base",509.37
"41",1997,5,"Bunny","Base",0
"42",1997,6,"Bunny","Base",3065.07
"43",1997,7,"Bunny","Base",0
"44",1997,8,"Bunny","Base",0
"45",1997,9,"Bunny","Base",0
"46",1997,10,"Bunny","Base",922.13
"47",1997,11,"Bunny","Base",0
"48",1997,12,"Bunny","Base",0
"49",1998,1,"Bunny","Base",0
"50",1998,2,"Bunny","Base",0
"51",1998,3,"Bunny","Base",0
"52",1998,4,"Bunny","Base",8732.38
